2	1220911591
4	1323517163
6	1494828198
8	1729539890
1000010	1410016230
12	1492643926
14	980542435
16	335545319
18	2015245989
1000020	1861452688
22	1781212932
24	2134183368
26	756152503
28	1947956449
1000030	636825251
32	2015354300
34	943540289
36	193692494
38	437258272
1000040	523209007
42	560405093
44	1737086561
46	1876366830
48	1002851783
1000050	319622983
52	2039723729
54	1657850848
56	263988489
58	167009762
1000060	694919069
62	1068266110
64	1216511265
66	140958285
68	356971690
1000070	1830118079
72	94474682
74	786672591
76	1130812566
78	54514622
1000080	2076699620
82	834335204
84	695559620
86	2043237713
88	470593911
1000090	1203664417
92	1231009284
94	2030572801
96	1695460508
98	2018286914
1000100	1882386621
102	1322271110
104	290447095
106	1368097074
108	831256919
1000110	971897734
