1	2045201421
2	1220911591
3	153709483
4	1323517163
5	1451071572
6	1494828198
7	868738912
8	1729539890
9	1853336516
1000010	1410016230
11	8828938
12	1492643926
13	1300511979
14	980542435
15	2023810573
16	335545319
17	531732954
18	2015245989
19	1309881598
1000020	1861452688
21	1691217659
22	1781212932
23	1791601183
24	2134183368
25	1805582803
26	756152503
27	1837186987
28	1947956449
29	1015182603
1000030	636825251
31	1935477795
32	2015354300
33	2128444759
34	943540289
35	1467652906
36	193692494
37	1398019046
38	437258272
39	578008223
1000040	523209007
41	616242971
42	560405093
43	1087314532
44	1737086561
45	2023344906
46	1876366830
47	1679242800
48	1002851783
49	2120565174
1000050	319622983
51	1462571756
52	2039723729
53	1617929510
54	1657850848
55	2102710300
56	263988489
57	1576794055
58	167009762
59	1665418007
1000060	694919069
61	1805124858
62	1068266110
63	714357287
64	1216511265
65	1622022082
66	140958285
67	1511682814
68	356971690
69	1660373176
1000070	1830118079
71	1085009920
72	94474682
73	1437237766
74	786672591
75	1245209717
76	1130812566
77	693898400
78	54514622
79	110838462
1000080	2076699620
81	1224393350
82	834335204
83	1974874922
84	695559620
85	1321737142
86	2043237713
87	397424790
88	470593911
89	988313636
1000090	1203664417
91	764382086
92	1231009284
93	919323912
94	2030572801
95	865567796
96	1695460508
97	1993531453
98	2018286914
99	115064479
1000100	1882386621
